,1M,2M,3M,6M,12M,2Y,3Y,5Y,7Y,10Y,20Y,30Y
T-Bill 6M,0.0,0.0,0.0,0.501369863224527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T-Note 2Y,0.0017327258025900828,0.0,0.0,0.010534747589608921,0.03690158129626499,1.9193045060011567,0.0,0.0,0.0,0.0,0.0,0.0
T-Bond 20Y,0.0,0.0,0.002156077316768228,0.009638933884505782,0.04821868223507544,0.08796923054681881,0.20913011632472675,0.4306561892260408,0.6835204020358918,2.2082437481433983,8.673225515620892,0.0
PORTAFOGLIO,0.00035972563634733054,0.0,0.0010637842965002921,0.1568546525285748,0.03145157416580183,0.441863670314718,0.10318244706722093,0.2124809196774091,0.3372412780219585,1.08952262666883,4.279271911633234,0.0
