,1M,2M,3M,6M,12M,2Y,3Y,5Y,7Y,10Y,20Y,30Y
T-Bill 6M,0.0,0.0,0.0,24.57213699663407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T-Note 2Y,0.08844426614814438,0.0,0.0,0.5377296385995578,1.883583237795392,97.96788291278062,0.0,0.0,0.0,0.0,0.0,0.0
T-Bond 20Y,0.0,0.0,0.10461931195459329,0.4677098651009146,2.3397144988994114,4.268529844179284,10.14761794891092,20.896724739606725,33.166451690660324,107.15058303432306,420.85081031851587,0.0
PORTAFOGLIO,0.03537770645925775,0.0,0.10461931198369712,15.426083918486256,3.0931477940175682,43.455683009233326,10.147617948940024,20.89672473963583,33.166451690660324,107.15058303432306,420.85081031848677,0.0
